date,hosp,crit,vent,ecmo
01/01/2021,אסותא,4,1,0
01/01/2021,קפלן,4,4,0
01/01/2021,סורוקה,10,8,1
01/01/2021,ברזילי,1,1,0
01/01/2021,אוגוסטה,0,0,0
01/01/2021,אל מקאסד,2,2,0
01/01/2021,סנט ג'וזף,3,3,0
01/01/2021,שערי צדק,18,8,1
01/01/2021,עין כרם,20,9,2
01/01/2021,וולפסון,4,4,1
01/01/2021,שיבא,3,3,2
01/01/2021,סוראסקי,7,3,0
01/01/2021,מעייני הישועה,5,5,0
01/01/2021,אסף הרופא,11,11,1
01/01/2021,שניידר,0,0,0
01/01/2021,השרון,0,0,0
01/01/2021,בילינסון,7,5,0
01/01/2021,מאיר,11,4,0
01/01/2021,לניאדו,6,6,0
01/01/2021,הלל יפה,3,3,0
01/01/2021,בני ציון,3,3,0
01/01/2021,הכרמל,10,10,1
01/01/2021,"רמב""ם",16,20,2
01/01/2021,סנט וינסנט,0,0,0
01/01/2021,המשפחה הקדושה,3,3,0
01/01/2021,הסקוטי,0,0,0
01/01/2021,בעמק,7,7,0
01/01/2021,פוריה,14,3,0
01/01/2021,זיו,5,2,0
01/01/2021,נהריה,5,5,0
12/01/2021,אסותא,1,1,0
12/01/2021,קפלן,3,3,0
12/01/2021,סורוקה,14,14,1
12/01/2021,ברזילי,1,1,0
12/01/2021,אוגוסטה,0,0,0
12/01/2021,אל מקאסד,1,1,0
12/01/2021,סנט ג'וזף,4,4,0
12/01/2021,שערי צדק,23,27,0
12/01/2021,עין כרם,40,21,0
12/01/2021,וולפסון,5,5,3
12/01/2021,שיבא,9,9,4
12/01/2021,סוראסקי,28,14,0
12/01/2021,מעייני הישועה,9,8,0
12/01/2021,אסף הרופא,7,7,2
12/01/2021,שניידר,0,0,0
12/01/2021,השרון,5,5,0
12/01/2021,בילינסון,13,12,2
12/01/2021,מאיר,9,4,0
12/01/2021,לניאדו,8,8,0
12/01/2021,הלל יפה,7,7,0
12/01/2021,בני ציון,6,6,1
12/01/2021,הכרמל,10,10,1
12/01/2021,"רמב""ם",26,20,0
12/01/2021,סנט וינסנט,0,0,0
12/01/2021,המשפחה הקדושה,4,4,0
12/01/2021,הסקוטי,0,0,0
12/01/2021,בעמק,6,6,0
12/01/2021,פוריה,13,4,2
12/01/2021,זיו,8,7,0
12/01/2021,נהריה,11,11,0
14/01/2021,אסותא,3,3,0
14/01/2021,קפלן,1,1,0
14/01/2021,סורוקה,13,13,2
14/01/2021,ברזילי,1,1,0
14/01/2021,אוגוסטה,0,0,0
14/01/2021,אל מקאסד,1,1,
14/01/2021,סנט ג'וזף,3,3,0
14/01/2021,שערי צדק,22,14,0
14/01/2021,עין כרם,42,24,1
14/01/2021,וולפסון,5,5,3
14/01/2021,שיבא,9,9,5
14/01/2021,סוראסקי,28,19,0
14/01/2021,מעייני הישועה,8,8,0
14/01/2021,אסף הרופא,11,11,3
14/01/2021,שניידר,0,0,0
14/01/2021,השרון,6,5,0
14/01/2021,בילינסון,11,11,2
14/01/2021,מאיר,7,5,0
14/01/2021,לניאדו,9,9,0
14/01/2021,הלל יפה,8,8,0
14/01/2021,בני ציון,4,4,0
14/01/2021,הכרמל,10,10,1
14/01/2021,"רמב""ם",28,28,1
14/01/2021,סנט וינסנט,0,0,0
14/01/2021,המשפחה הקדושה,3,3,0
14/01/2021,הסקוטי,1,1,0
14/01/2021,בעמק,10,10,0
14/01/2021,פוריה,17,5,2
14/01/2021,זיו,9,5,0
14/01/2021,נהריה,9,9,0
22/01/2021,אסותא,2,2,0
22/01/2021,קפלן,6,6,0
22/01/2021,סורוקה,12,10,3
22/01/2021,ברזילי,8,8,0
22/01/2021,אוגוסטה,0,0,0
22/01/2021,אל מקאסד,0,0,0
22/01/2021,סנט ג'וזף,2,2,0
22/01/2021,שערי צדק,25,18,1
22/01/2021,עין כרם,46,22,1
22/01/2021,וולפסון,4,4,3
22/01/2021,שיבא,17,17,1
22/01/2021,סוראסקי,27,18,1
22/01/2021,מעייני הישועה,9,9,0
22/01/2021,אסף הרופא,19,17,1
22/01/2021,שניידר,0,0,0
22/01/2021,השרון,7,6,0
22/01/2021,בילינסון,21,13,1
22/01/2021,מאיר,10,7,0
22/01/2021,לניאדו,10,10,0
22/01/2021,הלל יפה,6,6,0
22/01/2021,בני ציון,5,5,0
22/01/2021,הכרמל,11,11,2
22/01/2021,"רמב""ם",32,31,1
22/01/2021,סנט וינסנט,0,0,0
22/01/2021,המשפחה הקדושה,2,2,0
22/01/2021,הסקוטי,5,5,0
22/01/2021,בעמק,12,12,0
22/01/2021,פוריה,17,9,2
22/01/2021,זיו,6,6,0
22/01/2021,נהריה,6,6,0
24/01/2021,אסותא,4,,
24/01/2021,קפלן,9,,
24/01/2021,סורוקה,12,,
24/01/2021,ברזילי,7,,
24/01/2021,אוגוסטה,0,,
24/01/2021,אל מקאסד,0,,
24/01/2021,סנט ג'וזף,2,,
24/01/2021,שערי צדק,41,,
24/01/2021,עין כרם,42,,
24/01/2021,וולפסון,5,,
24/01/2021,שיבא,14,,
24/01/2021,סוראסקי,24,,
24/01/2021,מעייני הישועה,8,,
24/01/2021,אסף הרופא,18,,
24/01/2021,שניידר,0,,
24/01/2021,השרון,7,,
24/01/2021,בילינסון,24,,
24/01/2021,מאיר,14,,
24/01/2021,לניאדו,10,,
24/01/2021,הלל יפה,5,,
24/01/2021,בני ציון,5,,
24/01/2021,הכרמל,7,,
24/01/2021,"רמב""ם",30,,
24/01/2021,סנט וינסנט,0,,
24/01/2021,המשפחה הקדושה,2,,
24/01/2021,הסקוטי,6,,
24/01/2021,בעמק,14,,
24/01/2021,פוריה,19,,
24/01/2021,זיו,9,,
24/01/2021,נהריה,5,,
